y,p,r,flex1,flex2,flex3,flex4,x
31.53,26.65,-86.45,936.00,1023.00,1023.00,1023.00,91
21.71,146.95,-97.65,935.00,1023.00,1023.00,1023.00,92
7.94,141.89,-109.81,947.00,1023.00,1023.00,1023.00,93
-2.95,138.91,-120.66,935.00,1023.00,1023.00,1023.00,94
-6.25,137.74,-127.30,934.00,1023.00,1023.00,1023.00,95
-5.59,137.14,-129.85,929.00,1023.00,1023.00,1023.00,96
-5.36,136.31,-131.68,941.00,1022.00,1023.00,1023.00,97
-5.34,135.42,-132.94,935.00,1023.00,1023.00,1023.00,98
-4.79,134.47,-133.37,943.00,1023.00,1023.00,1023.00,99
-3.71,133.57,-133.56,946.00,1023.00,1023.00,1023.00,100
-2.30,132.73,-133.80,946.00,1023.00,1023.00,1023.00,101
-0.68,131.88,-133.92,940.00,1023.00,1023.00,1023.00,102
1.12,131.28,-133.94,939.00,1023.00,1023.00,1023.00,103
3.66,130.92,-133.81,970.00,1023.00,1023.00,1023.00,104
6.24,130.64,-133.25,978.00,968.00,1023.00,946.00,105
8.88,130.45,-132.33,991.00,904.00,1023.00,892.00,106
11.67,130.47,-131.89,992.00,851.00,1023.00,888.00,107
14.19,129.33,-131.82,972.00,777.00,1023.00,893.00,108
17.74,127.36,-129.86,962.00,741.00,1023.00,982.00,109
21.66,125.21,-126.61,962.00,727.00,1023.00,1023.00,110
25.93,123.29,-122.94,958.00,750.00,1023.00,1023.00,111
28.44,122.07,-120.48,966.00,806.00,1023.00,1023.00,112
28.67,121.44,-120.60,991.00,833.00,1023.00,1023.00,113
27.64,121.09,-122.10,991.00,873.00,1023.00,1023.00,114
26.86,120.82,-123.38,992.00,891.00,1023.00,1023.00,115
26.09,120.66,-125.08,992.00,910.00,1023.00,1023.00,116
25.04,120.55,-127.06,994.00,916.00,1023.00,1023.00,117
23.83,120.72,-129.37,997.00,919.00,1023.00,1023.00,118
22.12,121.41,-132.44,999.00,939.00,1023.00,1023.00,119
19.70,122.84,-136.32,999.00,943.00,1023.00,1023.00,120
15.67,126.28,-142.91,1012.00,943.00,1021.00,1021.00,121
11.44,130.86,-150.47,1017.00,973.00,1019.00,1019.00,122
7.88,136.18,-155.74,1023.00,1016.00,1023.00,1023.00,123
5.83,141.21,-160.35,1023.00,1018.00,1023.00,1023.00,124
3.66,146.56,-165.41,1023.00,1023.00,1023.00,1023.00,125
4.05,150.98,-166.88,1023.00,1023.00,1023.00,991.00,126
5.56,154.92,-167.27,1023.00,1023.00,1023.00,988.00,127
6.51,160.27,-166.62,1000.00,1023.00,1023.00,986.00,128
7.25,166.57,-163.68,1020.00,1022.00,1023.00,988.00,129
