y,p,r,flex1,flex2,flex3,flex4,x
1.67,1.43,-72.51,1023.00,861.00,740.00,753.00,96
1.13,0.97,-72.23,1023.00,860.00,728.00,752.00,97
0.92,0.88,-72.40,1023.00,862.00,723.00,755.00,98
0.56,0.43,-73.06,1023.00,864.00,708.00,757.00,99
0.84,0.80,-72.92,1023.00,865.00,716.00,756.00,100
1.52,1.51,-72.94,1023.00,868.00,717.00,756.00,101
2.71,2.53,-73.51,1023.00,864.00,718.00,758.00,102
4.42,4.08,-73.60,1023.00,864.00,719.00,754.00,103
7.73,7.18,-73.58,1023.00,866.00,716.00,759.00,104
12.62,11.36,-73.89,1023.00,869.00,707.00,777.00,105
18.82,16.67,-72.86,1023.00,868.00,709.00,779.00,106
26.36,23.40,-70.43,1008.00,868.00,705.00,783.00,107
36.10,31.72,-66.51,1023.00,881.00,731.00,802.00,108
46.10,40.46,-58.24,1023.00,880.00,740.00,869.00,109
55.92,49.87,-50.13,1006.00,889.00,747.00,870.00,110
63.50,55.39,-38.29,1019.00,904.00,771.00,797.00,111
70.29,58.97,-22.26,987.00,905.00,767.00,798.00,112
74.80,59.05,-9.84,988.00,910.00,777.00,794.00,113
77.64,58.61,-2.05,991.00,902.00,778.00,788.00,114
79.52,58.11,3.01,983.00,905.00,775.00,790.00,115
79.65,56.93,3.61,989.00,909.00,778.00,789.00,116
79.93,56.93,4.40,993.00,920.00,774.00,793.00,117
80.13,57.29,4.85,988.00,923.00,772.00,793.00,118
79.98,57.40,5.01,991.00,926.00,772.00,793.00,119
79.47,58.05,3.72,989.00,928.00,772.00,795.00,120
77.52,59.18,-0.60,995.00,928.00,778.00,796.00,121
71.76,59.53,-11.97,1022.00,930.00,772.00,793.00,122
60.55,55.37,-32.70,1023.00,923.00,781.00,780.00,123
43.86,44.19,-54.84,1023.00,926.00,796.00,781.00,124
20.54,23.08,-72.48,1023.00,930.00,807.00,788.00,125
2.33,3.11,-81.26,1018.00,926.00,849.00,798.00,126
0.77,2.20,-78.65,1020.00,918.00,817.00,800.00,127
0.40,2.88,-76.10,1019.00,918.00,795.00,789.00,128
0.46,1.95,-79.48,1020.00,921.00,834.00,798.00,129
-0.67,0.54,-80.04,1019.00,921.00,822.00,798.00,130
0.08,1.98,-77.60,1020.00,918.00,832.00,797.00,131
0.55,2.06,-78.87,1020.00,917.00,842.00,797.00,132
-0.02,1.21,-79.78,1019.00,920.00,846.00,797.00,133
0.23,1.72,-78.88,1019.00,920.00,845.00,798.00,134
0.36,1.70,-79.34,1021.00,921.00,854.00,796.00,135
-0.33,0.75,-79.99,1019.00,921.00,859.00,801.00,136
-0.25,0.89,-79.66,1020.00,923.00,856.00,810.00,137
0.22,1.29,-79.98,1020.00,932.00,880.00,798.00,138
0.26,1.07,-80.77,1020.00,930.00,876.00,805.00,139
-0.41,0.38,-80.77,1020.00,951.00,880.00,817.00,140
-0.42,0.44,-80.34,1019.00,962.00,881.00,839.00,141
-5.68,-3.53,2.53,1023.00,1023.00,1023.00,1023.00,142
-5.68,-3.53,2.56,1023.00,1023.00,1023.00,1023.00,143
-5.68,-3.54,2.58,1023.00,1023.00,1023.00,1023.00,144
-5.67,-3.55,2.60,1023.00,1023.00,1023.00,1023.00,145
-5.65,-3.54,2.60,1023.00,1023.00,1023.00,1023.00,146
-5.64,-3.51,2.56,1023.00,1023.00,1023.00,1023.00,147
-5.60,-3.47,2.52,1023.00,1023.00,1023.00,1023.00,148
-5.52,-3.40,2.45,1023.00,1023.00,1023.00,1023.00,149
-5.32,-3.27,2.31,1023.00,1023.00,1023.00,1023.00,150
-5.01,-3.01,2.00,1023.00,1023.00,1023.00,1023.00,151
-4.63,-2.61,1.34,1023.00,1023.00,1023.00,1023.00,152
-4.19,-1.97,0.09,1023.00,1023.00,1023.00,1023.00,153
-3.71,-1.06,-1.61,1023.00,1023.00,1023.00,1023.00,154
-3.13,0.14,-4.66,1023.00,1023.00,1023.00,1023.00,155
-2.43,2.23,-10.12,1023.00,999.00,1023.00,1023.00,156
-1.01,5.12,-17.87,1023.00,999.00,1023.00,1022.00,157
0.78,6.18,-27.19,1023.00,991.00,1018.00,1018.00,158
2.90,6.22,-36.11,1023.00,999.00,1022.00,1000.00,159
5.15,6.75,-43.51,1018.00,1002.00,834.00,965.00,160
6.24,5.90,-50.30,1018.00,951.00,750.00,896.00,161
7.16,5.88,-55.83,1019.00,883.00,677.00,862.00,162
8.14,6.59,-59.98,1020.00,880.00,627.00,784.00,163
7.71,6.72,-62.18,1023.00,792.00,617.00,751.00,164
4.94,5.44,-62.51,1023.00,803.00,612.00,758.00,165
-1.01,1.31,-63.92,1022.00,823.00,643.00,807.00,166
-6.53,-2.96,-64.13,1020.00,811.00,658.00,843.00,167
-8.08,-5.05,-65.60,1020.00,827.00,642.00,845.00,168
-7.85,-5.14,-66.16,1019.00,856.00,715.00,874.00,169
-8.33,-5.63,-65.76,1020.00,856.00,728.00,867.00,170
-8.54,-6.12,-65.92,1020.00,857.00,711.00,875.00,171
-8.63,-6.41,-66.32,1020.00,858.00,742.00,874.00,172
-8.46,-6.12,-66.36,1020.00,864.00,753.00,879.00,173
-8.13,-5.92,-66.76,1020.00,871.00,751.00,879.00,174
-7.25,-5.34,-67.68,1019.00,889.00,735.00,830.00,175
-4.80,-3.30,-68.34,1020.00,892.00,733.00,834.00,176
0.40,1.21,-68.70,1019.00,895.00,720.00,838.00,177
8.74,8.40,-69.94,1020.00,885.00,729.00,834.00,178
20.25,18.38,-68.28,995.00,897.00,725.00,830.00,179
34.09,30.32,-61.74,1023.00,899.00,738.00,826.00,180
49.21,44.42,-50.03,1023.00,910.00,721.00,834.00,181
60.83,54.06,-35.53,1009.00,922.00,736.00,856.00,182
68.77,56.60,-17.45,996.00,929.00,743.00,890.00,183
74.36,56.11,-1.69,991.00,932.00,744.00,884.00,184
77.53,55.35,5.32,993.00,931.00,754.00,868.00,185
79.36,54.72,8.80,990.00,935.00,754.00,867.00,186
79.98,53.85,10.67,994.00,970.00,754.00,871.00,187
79.71,53.48,10.28,1000.00,974.00,754.00,863.00,188
80.01,53.91,10.65,994.00,974.00,755.00,868.00,189
79.90,54.35,10.49,994.00,975.00,754.00,866.00,190
79.18,55.02,9.30,1000.00,975.00,753.00,863.00,191
78.08,55.99,7.76,1011.00,976.00,753.00,860.00,192
74.59,57.30,1.11,1023.00,968.00,751.00,864.00,193
64.44,55.28,-19.51,1023.00,970.00,758.00,849.00,194
46.05,44.21,-47.21,1023.00,962.00,766.00,847.00,195
21.72,23.23,-69.49,1023.00,951.00,766.00,891.00,196
-1.79,-0.97,-78.43,1020.00,933.00,790.00,878.00,197
-10.70,-9.53,-78.29,1020.00,909.00,778.00,885.00,198
-13.02,-11.90,-80.29,1021.00,911.00,763.00,882.00,199
-15.16,-14.80,-84.90,1020.00,912.00,791.00,886.00,200
-15.06,-14.63,-85.03,1021.00,914.00,800.00,874.00,201
-14.36,-13.80,-84.43,1020.00,919.00,800.00,879.00,202
-14.49,-14.22,-86.54,1020.00,926.00,808.00,878.00,203
-14.25,-13.98,-86.54,1020.00,926.00,817.00,877.00,204
-13.66,-13.33,-86.07,1019.00,929.00,817.00,878.00,205
-14.15,-13.96,-87.39,1020.00,931.00,822.00,880.00,206
-14.35,-14.21,-87.54,1020.00,928.00,824.00,894.00,207
-13.68,-13.47,-86.62,1020.00,926.00,828.00,896.00,208
-13.87,-13.71,-87.24,1020.00,927.00,830.00,901.00,209
-14.16,-14.03,-87.50,1020.00,931.00,833.00,902.00,210
-13.73,-13.57,-86.85,1020.00,948.00,834.00,905.00,211
1023.00,1023.00,-86.85,1020.00,948.00,834.00,905.00,211
-4.61,-3.51,3.77,1023.00,1023.00,1023.00,1023.00,212
-4.60,-3.52,3.81,1023.00,1023.00,1023.00,1023.00,213
-4.60,-3.52,3.79,1023.00,1023.00,1023.00,1023.00,214
-4.58,-3.51,3.73,1023.00,1023.00,1023.00,1023.00,215
-4.57,-3.49,3.73,1023.00,1023.00,1023.00,1023.00,216
-4.52,-3.43,3.71,1023.00,1023.00,1023.00,1023.00,217
-4.42,-3.30,3.50,1023.00,1023.00,1023.00,1023.00,218
-4.26,-3.13,3.19,1023.00,1023.00,1023.00,1023.00,219
-3.81,-2.75,2.73,1023.00,1023.00,1023.00,1023.00,220
-3.17,-2.23,1.89,1023.00,1023.00,1023.00,1023.00,221
-2.60,-1.51,0.55,1023.00,1023.00,1023.00,1023.00,222
-1.91,0.06,-1.93,1023.00,1023.00,1023.00,1023.00,223
