y,p,r,flex1,flex2,flex3,flex4,x
13.95,-1.13,-38.10,1023.00,1012.00,1011.00,1012.00,91
16.35,0.46,-52.41,1023.00,940.00,951.00,943.00,92
18.88,4.67,-63.88,1023.00,997.00,998.00,997.00,93
21.67,10.20,-72.88,1018.00,1017.00,1009.00,1018.00,94
22.63,15.73,-81.51,1023.00,1023.00,1022.00,1021.00,95
20.93,158.94,-90.12,1023.00,1023.00,1023.00,1023.00,96
19.37,152.65,-96.94,1003.00,1023.00,1023.00,1023.00,97
16.70,146.45,-102.61,996.00,1023.00,1023.00,1023.00,98
8.79,140.03,-109.07,1013.00,1023.00,1023.00,1022.00,99
-3.02,134.26,-114.44,1023.00,1022.00,1023.00,1023.00,100
-11.76,129.72,-118.27,1023.00,1023.00,1023.00,1023.00,101
-14.04,126.34,-120.41,1023.00,1023.00,1022.00,1023.00,102
-14.85,123.83,-121.83,1023.00,1023.00,1023.00,1023.00,103
-15.66,121.88,-123.34,1023.00,1023.00,1023.00,1023.00,104
-17.18,120.31,-125.00,1023.00,1023.00,1023.00,1023.00,105
-17.15,119.12,-125.72,1023.00,1023.00,1023.00,1023.00,106
-15.29,118.18,-126.33,1023.00,1023.00,1023.00,1023.00,107
-14.15,117.32,-127.43,1023.00,1023.00,1023.00,1023.00,108
-14.79,116.44,-128.42,1023.00,1023.00,1023.00,1023.00,109
-14.57,115.74,-128.80,1023.00,1023.00,1023.00,1022.00,110
-13.38,115.20,-129.38,1023.00,1023.00,1023.00,1023.00,111
-12.65,114.63,-130.05,1023.00,995.00,981.00,977.00,112
-13.01,114.08,-129.78,1023.00,975.00,966.00,887.00,113
-13.15,113.86,-129.18,1023.00,969.00,909.00,759.00,114
-11.92,113.46,-129.79,1023.00,945.00,892.00,715.00,115
-11.74,113.09,-131.66,1023.00,896.00,873.00,741.00,116
-12.74,112.63,-134.16,1023.00,773.00,864.00,732.00,117
-14.00,112.20,-136.79,1023.00,781.00,852.00,738.00,118
-13.43,111.78,-139.60,1022.00,776.00,872.00,757.00,119
-13.20,111.61,-142.26,1023.00,771.00,876.00,762.00,120
-12.37,111.38,-143.70,1023.00,770.00,868.00,769.00,121
-11.57,111.29,-145.12,1023.00,769.00,874.00,774.00,122
-12.20,111.18,-147.22,1023.00,775.00,865.00,782.00,123
-13.71,110.89,-148.86,1023.00,778.00,856.00,783.00,124
-13.90,110.92,-150.35,1023.00,771.00,856.00,794.00,125
-13.38,111.17,-151.97,1023.00,767.00,870.00,827.00,126
-13.32,111.21,-152.85,1023.00,793.00,910.00,858.00,127
-14.07,111.11,-153.45,1023.00,845.00,939.00,912.00,128
-13.99,111.12,-154.44,1023.00,902.00,974.00,954.00,129
-13.00,111.19,-155.39,1023.00,943.00,1023.00,994.00,130
-12.09,111.10,-155.14,1023.00,976.00,1023.00,1023.00,131
-10.63,110.75,-154.03,1023.00,1023.00,1023.00,1023.00,132
-8.97,110.50,-151.47,1023.00,1023.00,1023.00,1023.00,133
-6.89,110.03,-150.02,1023.00,1023.00,1023.00,995.00,134
-5.61,109.17,-150.80,1023.00,1023.00,1023.00,998.00,135
-6.86,108.67,-151.42,1023.00,1023.00,1023.00,979.00,136
-6.15,108.76,-152.45,1023.00,1023.00,1023.00,1009.00,137
-6.15,108.70,-155.32,1023.00,1023.00,1023.00,1012.00,138
-7.50,108.61,-156.95,1023.00,1023.00,1022.00,1023.00,139
-7.48,108.80,-159.03,1023.00,1023.00,1023.00,1023.00,140
-6.75,108.80,-160.24,1023.00,1023.00,1023.00,1023.00,141
0,1023.00,1023.00,1023.00,1023.00,1023.00,1023.00,141
4.91,-0.61,-17.77,1023.00,1023.00,1023.00,1023.00,142
5.86,-0.06,-18.51,1023.00,1023.00,1022.00,1022.00,143
7.45,0.50,-19.82,1023.00,1023.00,1023.00,1022.00,144
9.44,1.40,-22.24,1023.00,1023.00,1023.00,1023.00,145
11.98,2.66,-26.32,1023.00,1023.00,1022.00,1022.00,146
15.07,3.85,-32.40,1023.00,1022.00,1022.00,1021.00,147
18.68,5.36,-39.79,1023.00,1017.00,1018.00,1017.00,148
22.61,7.96,-47.66,1023.00,1015.00,1015.00,1014.00,149
26.71,11.74,-55.76,1023.00,1023.00,1023.00,1023.00,150
30.56,16.33,-63.64,1023.00,1023.00,1023.00,1023.00,151
33.95,21.69,-71.47,1023.00,1021.00,1022.00,1022.00,152
37.00,27.90,-78.60,1023.00,1020.00,1020.00,1021.00,153
38.80,34.45,-85.36,1023.00,1023.00,1023.00,1023.00,154
39.86,139.06,-91.01,1023.00,1023.00,1023.00,1023.00,155
38.41,133.19,-96.78,1023.00,1023.00,1023.00,1023.00,156
33.79,127.58,-102.85,1023.00,1023.00,1022.00,1021.00,157
18.88,121.25,-111.92,1023.00,1023.00,1023.00,1023.00,158
3.07,117.63,-119.46,1023.00,1022.00,1023.00,1023.00,159
-8.04,115.43,-127.50,1023.00,1023.00,1022.00,1023.00,160
-13.37,114.09,-135.07,1023.00,1022.00,1022.00,1023.00,161
-15.60,113.46,-140.59,1023.00,1023.00,1022.00,1023.00,162
-17.22,112.88,-144.48,1023.00,1023.00,1023.00,1023.00,163
-18.01,112.43,-147.05,1023.00,1023.00,1023.00,1023.00,164
-17.11,111.98,-148.84,1023.00,1023.00,1023.00,1023.00,165
-16.50,111.39,-149.75,1023.00,1023.00,1023.00,1023.00,166
-16.99,110.83,-150.33,1023.00,1023.00,1023.00,1023.00,167
-17.09,110.50,-151.16,1023.00,1023.00,1022.00,1023.00,168
-17.06,110.06,-151.61,1023.00,1023.00,1023.00,1022.00,169
-17.14,109.42,-151.14,1023.00,1023.00,1023.00,1023.00,170
-16.99,108.97,-150.34,1022.00,1023.00,1023.00,1023.00,171
-16.34,108.66,-150.20,1023.00,1023.00,1023.00,1023.00,172
-16.23,108.22,-150.29,1023.00,1023.00,1023.00,1023.00,173
-16.08,107.83,-149.94,1023.00,1023.00,1023.00,1023.00,174
